disasterNumber,declarationDate,disasterType,incidentType,title,region,state,hmgpCloseoutStatus,hmgpReconciliationDate,hmgpPopEndDate,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedRecipientAdmin,obligatedSubrecipientAdmin,obligatedRecipientMgmtAmt,pendingProjectsQuantity,formattedDate,formattedyear
1607,2005-09-24 00:00:00+00:00,DR,Hurricane,HURRICANE RITA ,6,Louisiana,Open,,,130579227.07,140116.28,8523815.0,106869881.36,618403.89,933275.13,13493735.41,0.0,September 2005,2005
1998,2011-06-27 00:00:00+00:00,DR,Flood,FLOODING,7,Iowa,Closed,2018-01-17T00:00:00.000Z,2040-04-03T00:00:00.000Z,10962304.0,618567.0,263907.0,9709855.0,0.0,0.0,369975.0,0.0,June 2011,2011
4381,2018-08-02 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",5,Michigan,Open,,,3983667.46,39465.0,237078.58,3240314.08,0.0,0.0,408744.0,10.0,August 2018,2018
5433,2022-04-12 00:00:00+00:00,FM,Fire,NOGAL CANYON FIRE,6,New Mexico,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,April 2022,2022
5437,2022-04-28 00:00:00+00:00,FM,Fire,COOK'S PEAK FIRE,6,New Mexico,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,April 2022,2022
5438,2022-04-30 00:00:00+00:00,FM,Fire,CALF CANYON FIRE,6,New Mexico,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,April 2022,2022
4793,2024-06-17 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, AND LANDSLIDES",9,Hawaii,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2024,2024
4132,2013-07-26 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,3,West Virginia,Closed,2019-08-13T00:00:00.000Z,,384030.0,0.0,0.0,384030.0,0.0,0.0,0.0,0.0,July 2013,2013
4121,2013-06-18 00:00:00+00:00,DR,Flood,FLOODING ,5,Michigan,Closed,2020-09-28T00:00:00.000Z,,282365.08,0.0,0.0,261934.17,0.0,0.0,20430.91,0.0,June 2013,2013
4291,2016-11-02 00:00:00+00:00,DR,Hurricane,HURRICANE MATTHEW,3,Virginia,Open,,,3770125.81,167064.0,76039.0,3345247.81,0.0,0.0,181775.0,0.0,November 2016,2016
5207,2017-09-09 00:00:00+00:00,FM,Fire,RICE RIDGE FIRE ,8,Montana,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2017,2017
4458,2019-08-27 00:00:00+00:00,DR,Hurricane,HURRICANE BARRY,6,Louisiana,Open,,,824869.0,0.0,0.0,0.0,0.0,0.0,824869.0,9.0,August 2019,2019
4127,2013-07-10 00:00:00+00:00,DR,Flood,FLOODING ,8,Montana,Closed,2020-09-16T00:00:00.000Z,,265599.27,18671.0,23500.0,207028.0,0.0,0.0,16400.27,0.0,July 2013,2013
4628,2021-10-26 00:00:00+00:00,DR,Flood,"FLOODING, LANDSLIDES, AND MUDSLIDES",3,Virginia,Open,,,25304.39,0.0,0.0,0.0,0.0,0.0,25304.39,1.0,October 2021,2021
4629,2021-10-30 00:00:00+00:00,DR,Hurricane,REMNANTS OF HURRICANE IDA,1,Connecticut,Open,,,702000.0,0.0,0.0,702000.0,0.0,0.0,0.0,0.0,October 2021,2021
5343,2020-09-02 00:00:00+00:00,FM,Fire,HUFF FIRE ,8,Montana,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
4218,2015-05-12 00:00:00+00:00,DR,Flood,"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES",4,Kentucky,Open,,,3824948.83,194879.56,148275.0,3280105.27,0.0,0.0,201689.0,0.0,May 2015,2015
5164,2016-11-19 00:00:00+00:00,FM,Fire,CHESTNUT KNOB FIRE ,4,North Carolina,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,November 2016,2016
5341,2020-08-28 00:00:00+00:00,FM,Fire,WHITE RIVER FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2020,2020
5354,2020-09-08 00:00:00+00:00,FM,Fire,TWO FOUR TWO FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5365,2020-09-09 00:00:00+00:00,FM,Fire,ARCHIE CREEK FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5367,2020-09-09 00:00:00+00:00,FM,Fire,SOUTH OBENCHAIN FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5357,2020-09-08 00:00:00+00:00,FM,Fire,HOLIDAY FARM FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5366,2020-09-09 00:00:00+00:00,FM,Fire,RIVERSIDE FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5358,2020-09-08 00:00:00+00:00,FM,Fire,POWERLINE FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5364,2020-09-09 00:00:00+00:00,FM,Fire,ALMEDA GLENDOWER FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5362,2020-09-09 00:00:00+00:00,FM,Fire,ECHO MOUNTAIN FIRE COMPLEX,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5356,2020-09-08 00:00:00+00:00,FM,Fire,BEACHIE CREEK LIONSHEAD FIRE COMPLEX,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5530,2024-08-12 00:00:00+00:00,FM,Fire,GOLD RANCH FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2024,2024
5371,2020-09-10 00:00:00+00:00,FM,Fire,CHEHALEM MOUNTAIN BALD PEAK FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5369,2020-09-10 00:00:00+00:00,FM,Fire,SLATER FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5370,2020-09-10 00:00:00+00:00,FM,Fire,CLAKAMAS COUNTY FIRE COMPLEX,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5368,2020-09-10 00:00:00+00:00,FM,Fire,PIKE ROAD FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
5372,2020-09-12 00:00:00+00:00,FM,Fire,BRATTAIN FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
4397,2018-10-01 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,2,New York,Open,,,3105664.25,0.0,0.0,2658653.25,0.0,0.0,423841.5,0.0,October 2018,2018
5232,2018-04-13 00:00:00+00:00,FM,Fire,RHEA FIRE COMPLEX ,6,Oklahoma,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,April 2018,2018
5231,2018-04-13 00:00:00+00:00,FM,Fire,34 FIRE COMPLEX ,6,Oklahoma,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,April 2018,2018
5305,2019-11-26 00:00:00+00:00,FM,Fire,GAUGE FIRE ,6,Oklahoma,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,November 2019,2019
5304,2019-11-26 00:00:00+00:00,FM,Fire,HIGHWAY 50 FIRE  ,6,Oklahoma,Open,,,1538236.88,0.0,0.0,1355000.0,0.0,0.0,183236.88,0.0,November 2019,2019
5169,2017-02-23 00:00:00+00:00,FM,Fire,141ST FIRE ,6,Oklahoma,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,February 2017,2017
5177,2017-03-07 00:00:00+00:00,FM,Fire,NW OKLAHOMA WILDFIRE OUTBREAK COMPLEX ,6,Oklahoma,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,March 2017,2017
5275,2018-09-03 00:00:00+00:00,FM,Fire,HUGO ROAD FIRE ,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2018,2018
4361,2018-04-26 00:00:00+00:00,DR,Flood,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",4,Kentucky,Open,,,4802840.95,228173.72,361748.64,3881265.84,0.0,0.0,295853.0,1.0,April 2018,2018
5165,2016-11-19 00:00:00+00:00,FM,Fire,EAST MILLER COVE FIRE ,4,Tennessee,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,November 2016,2016
5167,2016-11-28 00:00:00+00:00,FM,Fire,CHIMNEY TOP FIRE ,4,Tennessee,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,November 2016,2016
5116,2015-10-14 00:00:00+00:00,FM,Fire,HIDDEN PINES FIRE  ,6,Texas,Closed,2023-06-20T00:00:00.000Z,,205398.41,0.0,0.0,189204.41,0.0,0.0,16194.0,0.0,October 2015,2015
1606,2005-09-24 00:00:00+00:00,DR,Hurricane,HURRICANE RITA ,6,Texas,Closed,2016-09-06T00:00:00.000Z,,90546358.0,3711223.0,0.0,85545767.0,25387.0,1096700.0,167281.0,0.0,September 2005,2005
5454,2022-09-10 00:00:00+00:00,FM,Fire,MILO MCIVER FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2022,2022
5427,2022-03-17 00:00:00+00:00,FM,Fire,KIDD FIRE ,6,Texas,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,March 2022,2022
5468,2023-07-05 00:00:00+00:00,FM,Fire,MCEWAN FIRE ,10,Washington,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2023,2023
5469,2023-07-11 00:00:00+00:00,FM,Fire,BAIRD SPRINGS FIRE ,10,Washington,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2023,2023
5174,2017-03-06 00:00:00+00:00,FM,Fire, NESS COUNTY FIRE,7,Kansas,Closed,2021-06-03T00:00:00.000Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,March 2017,2017
4035,2011-09-23 00:00:00+00:00,DR,Flood,FLOODING ,7,Kansas,Closed,2017-02-16T00:00:00.000Z,2019-12-14T00:00:00.000Z,514894.0,0.0,0.0,491000.0,0.0,0.0,23894.0,0.0,September 2011,2011
5239,2018-06-01 00:00:00+00:00,FM,Fire,UTE PARK FIRE ,6,New Mexico,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2018,2018
4711,2023-05-09 00:00:00+00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4,Kentucky,Open,,,115723.0,33750.0,0.0,30000.0,0.0,0.0,49973.0,3.0,May 2023,2023
1602,2005-08-28 00:00:00+00:00,DR,Hurricane,HURRICANE KATRINA,4,Florida,Closed,2016-09-28T00:00:00.000Z,,10236074.0,0.0,0.0,8873908.0,22627.0,124817.0,1214722.0,0.0,August 2005,2005
1806,2008-10-27 00:00:00+00:00,DR,Hurricane,HURRICANE GUSTAV,4,Florida,Closed,2018-09-25T00:00:00.000Z,,3947586.15,311426.0,0.0,3420752.15,0.0,0.0,215408.0,0.0,October 2008,2008
4809,2024-08-20 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,6,New Mexico,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2024,2024
4623,2021-09-30 00:00:00+00:00,DR,Fire,RICHARD SPRING FIRE,8,Montana,Open,,,128856.5,21920.4,0.0,31239.0,0.0,0.0,75697.1,1.0,September 2021,2021
1595,2005-07-10 00:00:00+00:00,DR,Hurricane,HURRICANE DENNIS,4,Florida,Closed,2016-07-25T00:00:00.000Z,,11497847.0,486034.0,152250.0,9405694.0,39323.0,135641.0,1278905.0,0.0,July 2005,2005
4390,2018-09-05 00:00:00+00:00,DR,Flood,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",5,Minnesota,Open,,,3610529.06,0.0,0.0,3112458.06,0.0,0.0,419285.0,4.0,September 2018,2018
5464,2023-04-14 00:00:00+00:00,FM,Fire,QUEENS RIVER FIRE,1,Rhode Island,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,April 2023,2023
5404,2021-08-01 00:00:00+00:00,FM,Fire,MANA ROAD FIRE,9,Hawaii,Open,,,33200.0,0.0,0.0,31125.0,0.0,0.0,0.0,0.0,August 2021,2021
4028,2011-09-03 00:00:00+00:00,DR,Hurricane,TROPICAL STORM IRENE,1,Massachusetts,Closed,2024-05-23T00:00:00.000Z,,5152535.93,86029.0,0.0,4798676.0,0.0,0.0,267830.93,0.0,September 2011,2011
1551,2004-09-16 00:00:00+00:00,DR,Hurricane,HURRICANE IVAN,4,Florida,Closed,2020-06-11T00:00:00.000Z,2017-03-30T00:00:00.000Z,80168489.91,7720879.0,5917326.0,61596371.5,336527.07,832452.82,3764933.52,0.0,September 2004,2004
1561,2004-09-26 00:00:00+00:00,DR,Hurricane,HURRICANE JEANNE,4,Florida,Closed,2019-08-29T00:00:00.000Z,,84000410.17,8844281.77,6150198.8,64605345.82,146547.41,846711.44,3407324.93,0.0,September 2004,2004
5519,2024-07-25 00:00:00+00:00,FM,Fire,PARK FIRE,9,California,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2024,2024
5407,2021-08-13 00:00:00+00:00,FM,Fire,BEDROCK FIRE,10,Idaho,Open,,,210860.85,0.0,0.0,126862.65,0.0,0.0,75540.69,3.0,August 2021,2021
4519,2020-04-03 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",10,Oregon,Open,,,2818297.0,0.0,179117.0,2195013.82,0.0,0.0,330939.75,0.0,April 2020,2020
5538,2024-09-11 00:00:00+00:00,FM,Fire,AIRPORT FIRE,9,California,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2024,2024
4568,2020-10-14 00:00:00+00:00,DR,Hurricane,HURRICANE ISAIAS,4,North Carolina,Open,,,1981951.8,75768.6,198000.0,1537592.94,0.0,0.0,146436.0,1.0,October 2020,2020
5537,2024-09-11 00:00:00+00:00,FM,Fire,BRIDGE FIRE,9,California,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2024,2024
5103,2015-08-15 00:00:00+00:00,FM,Fire,STEVENS COUNTY FIRE COMPLEX,10,Washington,Closed,2022-01-24T00:00:00.000Z,,37449.95,0.0,15885.0,0.0,0.0,0.0,21564.95,0.0,August 2015,2015
5101,2015-08-15 00:00:00+00:00,FM,Fire,STICKPIN FIRE,10,Washington,Closed,2021-09-30T00:00:00.000Z,,38681.58,0.0,17163.0,0.0,0.0,0.0,21518.58,0.0,August 2015,2015
5106,2015-08-19 00:00:00+00:00,FM,Fire,TWISP RIVER FIRE,10,Washington,Closed,2022-04-06T00:00:00.000Z,,46716.62,0.0,30908.0,0.0,0.0,0.0,15808.62,0.0,August 2015,2015
5108,2015-08-21 00:00:00+00:00,FM,Fire,RENNER FIRE,10,Washington,Closed,2022-01-24T00:00:00.000Z,,30584.95,0.0,10590.0,0.0,0.0,0.0,19994.95,0.0,August 2015,2015
5109,2015-08-24 00:00:00+00:00,FM,Fire,GOODELL FIRE,10,Washington,Closed,2021-09-28T00:00:00.000Z,,438444.88,0.0,0.0,400682.43,0.0,0.0,37762.45,0.0,August 2015,2015
5113,2015-09-14 00:00:00+00:00,FM,Fire,HORSETHIEF BUTTE FIRE,10,Washington,Closed,2021-11-29T00:00:00.000Z,,44544.76,0.0,26806.0,0.0,0.0,0.0,17738.76,0.0,September 2015,2015
4421,2019-03-23 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,7,Iowa,Open,,2025-04-17T00:00:00.000Z,37702454.69,194884.3,0.0,33947706.49,0.0,0.0,2374097.89,0.0,March 2019,2019
5310,2020-05-18 00:00:00+00:00,FM,Fire,EAST DESERT FIRE,9,Arizona,Open,,,2521525.11,0.0,0.0,2521525.11,0.0,0.0,0.0,0.0,May 2020,2020
4595,2021-04-23 00:00:00+00:00,DR,Flood,"SEVERE, STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4,Kentucky,Open,,,9412768.48,758141.22,1333218.6,6942121.39,0.0,0.0,164785.0,4.0,April 2021,2021
4539,2020-04-23 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",10,Washington,Open,,,6513878.56,288000.0,415116.0,4978724.67,0.0,0.0,651540.8,0.0,April 2020,2020
4606,2021-06-02 00:00:00+00:00,DR,Flood,"SEVERE STORMS, TORNADOES, AND FLOODING",6,Louisiana,Open,,,752856.22,0.0,0.0,386316.9,0.0,0.0,345077.5,7.0,June 2021,2021
4634,2021-12-31 00:00:00+00:00,DR,Fire,WILDFIRES AND STRAIGHT-LINE WINDS,8,Colorado,Open,,,1377980.06,489785.0,335029.5,0.0,0.0,0.0,534769.31,13.0,December 2021,2021
4789,2024-06-10 00:00:00+00:00,DR,Flood,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",10,Idaho,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2024,2024
4411,2018-12-18 00:00:00+00:00,DR,Hurricane,TROPICAL STORM MICHAEL,3,Virginia,Open,,,3561986.29,228961.77,334590.0,2198030.12,0.0,0.0,640225.0,1.0,December 2018,2018
4093,2012-11-27 00:00:00+00:00,DR,Hurricane,HURRICANE SANDY,3,West Virginia,Closed,2018-08-29T00:00:00.000Z,,2253069.0,40197.0,38175.0,2174697.0,0.0,0.0,0.0,0.0,November 2012,2012
5230,2018-03-16 00:00:00+00:00,FM,Fire,SHUMACH FIRE COMPLEX,6,Oklahoma,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,March 2018,2018
4437,2019-05-24 00:00:00+00:00,DR,Flood,FLOODING,8,Montana,Closed,2024-09-24T00:00:00.000Z,,139036.79,0.0,0.0,139036.79,0.0,0.0,0.0,0.0,May 2019,2019
4736,2023-09-05 00:00:00+00:00,DR,Flood,SEVERE STORM AND FLOODING,1,Maine,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2023,2023
5518,2024-07-24 00:00:00+00:00,FM,Fire,SWAWILLA FIRE ,10,Washington,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2024,2024
4745,2023-10-11 00:00:00+00:00,DR,Flood,FLOODING,8,Montana,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,October 2023,2023
4737,2023-09-06 00:00:00+00:00,DR,Flood,SEVERE STORM AND FLOODING,1,Maine,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2023,2023
5316,2020-06-27 00:00:00+00:00,FM,Fire,POEVILLE ROAD FIRE,9,Nevada,Open,,,562908.8,0.0,0.0,539445.75,0.0,0.0,0.0,1.0,June 2020,2020
1918,2010-06-24 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES",3,West Virginia,Closed,2016-03-15T00:00:00.000Z,,963402.0,55326.0,127949.0,780127.0,0.0,0.0,0.0,0.0,June 2010,2010
4220,2015-05-18 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3,West Virginia,Open,,,720273.38,0.0,43900.85,662946.19,0.0,0.0,13426.34,0.0,May 2015,2015
4221,2015-05-21 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3,West Virginia,Open,,,1058840.4,0.0,53765.69,996850.01,0.0,0.0,8224.7,0.0,May 2015,2015
5194,2017-07-27 00:00:00+00:00,FM,Fire,LODGEPOLE FIRE COMPLEX,8,Montana,Open,,,3071122.89,146942.27,0.0,2757917.5,0.0,0.0,166263.12,0.0,July 2017,2017
5396,2021-07-10 00:00:00+00:00,FM,Fire,BOOTLEG FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2021,2021
4420,2019-03-21 00:00:00+00:00,DR,Flood,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, AND FLOODING",7,Nebraska,Open,,2025-09-17T00:00:00.000Z,40108245.7,1342358.25,623964.33,35569414.99,0.0,0.0,2103871.5,2.0,March 2019,2019
5409,2021-08-16 00:00:00+00:00,FM,Fire,PATTON MEADOW FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2021,2021
5317,2020-06-28 00:00:00+00:00,FM,Fire,CANAL FIRE,8,Utah,Open,,,2053000.98,94452.0,0.0,1682676.98,0.0,0.0,251872.0,0.0,June 2020,2020
5243,2018-06-22 00:00:00+00:00,FM,Fire,GRAHAM FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2018,2018
5274,2018-08-24 00:00:00+00:00,FM,Fire,RAMSEY CANYON FIRE,10,Oregon,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2018,2018
4468,2019-10-21 00:00:00+00:00,DR,Hurricane,HURRICANE DORIAN,4,Florida,Open,,,9747147.8,0.0,0.0,7631709.91,0.0,0.0,1873786.95,0.0,October 2019,2019
4477,2020-03-11 00:00:00+00:00,DR,Flood,SEVERE WINTER STORM AND FLOODING,5,Wisconsin,Open,,,948675.97,0.0,45000.0,763537.67,0.0,0.0,102242.1,0.0,March 2020,2020
4650,2022-03-29 00:00:00+00:00,DR,Flood,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",10,Washington,Open,,,1699190.57,0.0,502332.75,938601.65,0.0,0.0,232863.17,2.0,March 2022,2022
4406,2018-11-05 00:00:00+00:00,DR,Hurricane,HURRICANE MICHAEL,4,Alabama,Open,,,955070.68,0.0,135000.0,711387.51,0.0,0.0,84423.17,0.0,November 2018,2018
5520,2024-07-26 00:00:00+00:00,FM,Fire,GWEN FIRE,10,Idaho,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2024,2024
4833,2024-10-04 00:00:00+00:00,DR,Fire,WATCH FIRE,9,Arizona,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,October 2024,2024
1539,2004-08-13 00:00:00+00:00,DR,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,4,Florida,Closed,2020-04-29T00:00:00.000Z,,87636278.54,9004393.0,6274240.0,67109646.97,368026.04,1175920.01,3704052.52,0.0,August 2004,2004
4084,2012-10-18 00:00:00+00:00,DR,Hurricane,HURRICANE ISAAC,4,Florida,Closed,2019-05-15T00:00:00.000Z,,3444360.76,0.0,177872.0,3087509.58,0.0,0.0,178979.18,0.0,October 2012,2012
4605,2021-05-20 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,3,West Virginia,Open,,,841170.2,0.0,0.0,726217.2,0.0,0.0,114953.0,0.0,May 2021,2021
5430,2022-04-11 00:00:00+00:00,FM,Fire,BIG HOLE FIRE,6,New Mexico,Open,,,1920799.92,201240.67,225217.5,867586.25,0.0,0.0,609354.22,2.0,April 2022,2022
4635,2022-01-05 00:00:00+00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",10,Washington,Open,,,5089727.35,0.0,420879.6,3751742.02,0.0,0.0,742571.73,2.0,January 2022,2022
5521,2024-07-26 00:00:00+00:00,FM,Fire,RETREAT FIRE,10,Washington,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2024,2024
1545,2004-09-04 00:00:00+00:00,DR,Hurricane,HURRICANE FRANCES,4,Florida,Closed,2016-12-20T00:00:00.000Z,,102446410.0,10212674.0,6799087.0,80734542.0,287327.0,1203015.0,3209765.0,0.0,September 2004,2004
5160,2016-11-11 00:00:00+00:00,FM,Fire,SMITH MOUNTAIN FIRE COMPLEX,4,Tennessee,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,November 2016,2016
5395,2021-07-06 00:00:00+00:00,FM,Fire,ANDRUS FIRE,10,Washington,Open,,,2525370.01,250807.5,409116.0,1673724.56,0.0,0.0,121173.0,2.0,July 2021,2021
4743,2023-09-27 00:00:00+00:00,DR,Hurricane,TROPICAL STORM HILARY,9,California,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2023,2023
5237,2018-05-02 00:00:00+00:00,FM,Fire,MCDANNALD FIRE,6,Texas,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,May 2018,2018
5422,2021-12-15 00:00:00+00:00,FM,Fire,NORTH 207 FIRE,6,Texas,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,December 2021,2021
5428,2022-03-18 00:00:00+00:00,FM,Fire,WHEAT FIELD FIRE,6,Texas,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,March 2022,2022
5429,2022-03-20 00:00:00+00:00,FM,Fire,BIG L FIRE,6,Texas,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,March 2022,2022
5440,2022-05-18 00:00:00+00:00,FM,Fire,MESQUITE HEAT FIRE,6,Texas,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,May 2022,2022
5443,2022-07-07 00:00:00+00:00,FM,Fire,HARD CASTLE FIRE,6,Texas,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2022,2022
5444,2022-07-19 00:00:00+00:00,FM,Fire,CHALK MOUNTAIN FIRE,6,Texas,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2022,2022
5353,2020-09-07 00:00:00+00:00,FM,Fire,ETHER HOLLOW FIRE,8,Utah,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2020,2020
4402,2018-10-18 00:00:00+00:00,DR,Flood,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, AND LANDSLIDES",5,Wisconsin,Open,,,10779977.37,0.0,453931.36,9158731.19,0.0,0.0,625174.69,1.0,October 2018,2018
1604,2005-08-29 00:00:00+00:00,DR,Hurricane,HURRICANE KATRINA,4,Mississippi,Open,,2020-09-30T00:00:00.000Z,333396230.91,32791979.39,1820216.0,273586029.68,1593847.62,3371299.5,20232858.72,0.0,August 2005,2005
5208,2017-09-09 00:00:00+00:00,FM,Fire,ALICE CREEK FIRE,8,Montana,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2017,2017
4708,2023-04-27 00:00:00+00:00,DR,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,April 2023,2023
4819,2024-09-20 00:00:00+00:00,DR,Flood,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODNG",5,Illinois,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2024,2024
4250,2016-01-21 00:00:00+00:00,DR,Flood,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",7,Missouri,Closed,2020-10-05T00:00:00.000Z,2020-01-21T00:00:00.000Z,10675595.8,120452.0,475723.5,9663300.0,0.0,0.0,416120.3,0.0,January 2016,2016
