disasterNumber,declarationDate,disasterType,incidentType,title,region,state,hmgpCloseoutStatus,hmgpReconciliationDate,hmgpPopEndDate,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedRecipientAdmin,obligatedSubrecipientAdmin,obligatedRecipientMgmtAmt,pendingProjectsQuantity,formattedDate,formattedyear
4807,2024-08-15 00:00:00+00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",8,South Dakota,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,August 2024,2024
1907,2010-04-30 00:00:00+00:00,DR,Flood,FLOODING,8,North Dakota,Closed,2014-05-21T00:00:00.000Z,,58901.0,56253.0,0.0,0.0,0.0,0.0,2648.0,0.0,April 2010,2010
5294,2019-10-23 00:00:00+00:00,FM,Fire,KAHANA RIDGE FIRE,9,Hawaii,Closed,2023-08-30T00:00:00.000Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,October 2019,2019
5487,2024-02-27 00:00:00+00:00,FM,Fire,WINDY DEUCE FIRE,6,Texas,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,February 2024,2024
4781,2024-05-17 00:00:00+00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",6,Texas,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,May 2024,2024
5499,2024-06-23 00:00:00+00:00,FM,Fire,SLIDE RANCH FIRE,10,Washington,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2024,2024
4253,2016-02-02 00:00:00+00:00,DR,Flood,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T",10,Washington,Closed,2024-07-02T00:00:00.000Z,,424136.68,0.0,0.0,341748.68,0.0,0.0,82388.0,0.0,February 2016,2016
5156,2016-10-14 00:00:00+00:00,FM,Fire,LITTLE VALLEY FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,October 2016,2016
1984,2011-05-13 00:00:00+00:00,DR,Flood,FLOODING,8,South Dakota,Closed,2017-07-17T00:00:00.000Z,,7676674.0,378450.0,223522.0,6881072.0,0.0,0.0,193630.0,0.0,May 2011,2011
1915,2010-05-13 00:00:00+00:00,DR,Flood,FLOODING ,8,South Dakota,Closed,2017-02-06T00:00:00.000Z,,2780704.0,0.0,94473.0,2522832.0,0.0,0.0,163399.0,0.0,May 2010,2010
